"","Korea","Saudi","Taiwan","Mexico","USA","China","Canada","Japan","HongKong","Date"
"2023-04-24",2523.5,10822.650390625,15925.2900390625,54521.4296875,3928.86010742188,3205.57006835938,20740.400390625,29157.94921875,19959.939453125,2023-04-24
"2023-04-25",2489.02001953125,10723.9501953125,16101.8798828125,54564.26953125,3898.85009765625,3196.61010742188,20758.30078125,28949.880859375,19617.880859375,2023-04-25
"2023-04-26",2484.830078125,10419.150390625,16174.919921875,55018.91015625,3972.61010742188,3203.69995117188,20628.900390625,29242.8203125,19757.26953125,2023-04-26
"2023-04-27",2495.81005859375,10444.26953125,16180.8896484375,53874.91015625,4019.81005859375,3221.3701171875,20725,29122.1796875,19840.279296875,2023-04-27
"2023-04-28",2501.53002929688,10185.1396484375,16188.0302734375,54049.05078125,4016.94995117188,3196.1298828125,20679.5,29126.720703125,19894.5703125,2023-04-28
"2023-05-02",2524.38989257812,10246.6103515625,16159.3203125,53335.51171875,4016.21997070312,3236.47998046875,20597.80078125,29388.30078125,19933.810546875,2023-05-02
"2023-05-03",2501.39990234375,10138.3095703125,16292,53125.01171875,4060.42993164062,3237.69995117188,20612.099609375,29626.33984375,19699.16015625,2023-05-03
"2023-05-04",2500.93994140625,10033.1904296875,16505.05078125,52801.4296875,4070.56005859375,3209.6298828125,20702.19921875,29842.990234375,19948.73046875,2023-05-04
"2023-05-08",2513.2099609375,10221.1396484375,16636.30078125,52482.01953125,4017.77001953125,3197.82006835938,20704.80078125,30093.58984375,20049.310546875,2023-05-08
"2023-05-09",2510.06005859375,10248.1201171875,16622.740234375,53050.828125,4076.60009765625,3198.84008789062,20720.400390625,30573.9296875,20297.029296875,2023-05-09
"2023-05-10",2496.51000976562,10290.419921875,16578.9609375,52663.12109375,4119.2099609375,3169.52001953125,20606.400390625,30808.349609375,19867.580078125,2023-05-10
"2023-05-11",2491,10251.6796875,16512.650390625,53422.23828125,4179.759765625,3167.75,20515.19921875,31086.8203125,19762.19921875,2023-05-11
"2023-05-12",2475.419921875,10186.1796875,16706.91015625,54015.8203125,4136.47998046875,3164.15991210938,20252.599609375,30957.76953125,19743.7890625,2023-05-12
"2023-05-15",2479.35009765625,10280.150390625,16714.4296875,53789.640625,4111.080078125,3231.52001953125,20193.30078125,30682.6796875,19627.240234375,2023-05-15
"2023-05-16",2480.23999023438,10276.9404296875,16761.66015625,53908.55078125,4164,3223.03002929688,20188.19921875,30801.130859375,19971.130859375,2023-05-16
"2023-05-17",2494.65991210938,10215.7900390625,16922.48046875,53239.94921875,4117.85986328125,3216.669921875,20219.19921875,30916.310546875,19978.25,2023-05-17
"2023-05-18",2515.39990234375,10234.51953125,16733.689453125,53180.98828125,4081.5,3275.92993164062,20260.099609375,31233.5390625,19560.5703125,2023-05-18
"2023-05-19",2537.7900390625,10228.6396484375,16886.400390625,53085.7109375,4090.4599609375,3291.0400390625,20221.19921875,31328.16015625,19727.25,2023-05-19
"2023-05-22",2557.080078125,10359.259765625,16955.369140625,52686.23828125,4137.2900390625,3290.94897460938,20259.80078125,30887.880859375,19450.5703125,2023-05-22
"2023-05-23",2567.55004882812,10485.2900390625,17216.599609375,53013.62109375,4136.1298828125,3261.68994140625,20337.19921875,31148.009765625,19678.169921875,2023-05-23
"2023-05-24",2567.44995117188,10478.4599609375,17238.140625,52758.05859375,4147.60009765625,3280.462890625,20581.599609375,31524.220703125,19431.25,2023-05-24
"2023-05-25",2554.68994140625,10546.669921875,17334.98046875,53473.4609375,4090.40991210938,3288.083984375,20514.80078125,32217.4296875,19115.9296875,2023-05-25
"2023-05-26",2558.81005859375,10578.33984375,17288.91015625,53329.53125,4079.09008789062,3268.8310546875,20275.5,32506.779296875,18746.919921875,2023-05-26
